team_code,player_id,midseason_departure,longterm_inactive
ALA,bb2v7p23g1w8kb3nhuuwnil4a,1,0
ALA,c44zop1hvob3cmgu2grj8m0yy,1,0
ATM,c83h08n0vnjvfgglyefy03h0p,1,0
ATM,40gxfsz7bgrkdudqewlpxzyzt,1,0
ATM,abq67eup8kd31w8da2i0eftgp,1,0
BAR,et72bvivn2sh4gq9lb2fbsm50,1,0
CEL,e3czx0nsuw10acnftbr8ud0bt,1,0
CEL,81fw03v34t2u3xnwq5gpdbpck,1,0
CEL,bzv32rpgvs111w8e2gch452xg,1,0
ELC,3lgfd54rnqbz247l5x18egd79,1,0
ELC,1shws5hqogav06tvx8xm5ofe1,1,0
ELC,e1g4cho31825bw7apvh9xr0x6,1,0
ELC,3b1t1bhcalqyj33n6zer7o86i,1,0
ELC,1filh68q6hdk921qkdo7rsvmc,1,0
ELC,1zpt144smsq4ggjpvfhq55udw,1,0
ESP,4ho3e7wi6z5tq8g87l8tjtwtm,1,0
GET,6772p87u8cf9g6qyk5x414h61,1,0
GET,eucew4k6eswqr6emzsdg4if3d,1,0
GET,7kser55g81n3lqj9rjd2mwftg,1,0
GET,czo50ep8l8ubnp8ifn6bx87pw,1,0
GIR,1rhh9hzqzsp331scjcefanvo4,1,0
GIR,4ydaw14cc5uj77o8uafvt3578,1,0
GIR,3vp8awfs73xgrh2krs24w6up5,1,0
GIR,8cpd4je0ku8wjumqeh3ruv10p,1,0
GIR,c320492cbp1otejfp1i1oane1,1,0
GIR,2f1s166mgypfd94gce3k2cnx0,1,0
LEV,d1k9hj2ovhxue46mbdxy7wp3o,1,0
LEV,5b9ycghp21qhv7qz6zuvblh49,1,0
LEV,djhl1u6idhf6u50lp04xu3f1l,1,0
MLL,9e7b5cm66oxf26fmp33yuppsl,1,0
MLL,9wwzjoc2bl80vct0meb6v5yqc,1,0
MLL,5e8sf5791x5g5m9vmct6s3itw,1,0
OSA,cywgibmici8hwp1ad1nhk3ufp,1,0
OVI,7duip0fhdb8lce5x0tgq2257t,1,0
OVI,20d6omwpt4ophc6dsn4m7snh1,1,0
OVI,ec04djw7dspowrm7h7wr6e5ed,1,0
OVI,20wvh9al53baedfzbzykpvkyd,1,0
RAY,a8g1nr2nrtkbm34v91bhz44d0,1,0
RMA,14qv8npo5alwnb5dud8x82ln8,1,0
RSO,7y8ns61qioqu7kfsqzkvkwhuy,1,0
RSO,dtvmsnqlzn5672xb54zj8u7dh,1,0
RSO,dci5jbkxxr0wddazufgbysxec,1,0
SEV,8rprxly1blrhq9cwhfqoheeax,1,0
SEV,5cw4n6kdaa7imeyaiuo2pnq39,1,0
SEV,7lo14fnq32yyyqql6jws5w3xl,1,0
SEV,4kgjbmlzo6ygdccbue3zvjm96,1,0
SEV,370bp4zp3mxe27rtx3gwhcems,1,0
VIL,9p87liko3b1jjpjmi19135y0a,1,0
VIL,f0drogjsrwqv3hyjxuqcnk8vd,1,0
VIL,73jvx4opw9wvawwpg0bnt8ay2,1,0
VIL,4eezya3lwcwur6c8s6rl0rzvu,1,0
VIL,bl3o0pt262qax5cwv4jeu82s4,1,0
GIR,5l6e9nd0defapk1w2ucndowr9,0,1
VAL,eucssbf7wamb41y1gixfodivp,0,1
VAL,wlqj34ev5mucxtfx6j4tr9at,0,1
